id,day,name,meal,category,item
1,Today,Nine,Breakfast,Breakfast,Bob's Red Mill Gluten-Free Pancakes
2,Today,Nine,Breakfast,Breakfast,Hard-boiled Cage Free Egg (1)
3,Today,Nine,Breakfast,Breakfast,Mexican Chorizo Sausage
4,Today,Nine,Breakfast,Breakfast,Organic Oatmeal Gluten-Free
5,Today,Nine,Breakfast,Breakfast,Soyrizo Tofu Scramble
6,Today,Nine,Breakfast,Breakfast,Triangle Hash Brown Patty
7,Today,Nine,Breakfast,Entrees,Cage-Free Scrambled Eggs
8,Today,Nine,Breakfast,Clean Plate,Steamed Rice
9,Today,Nine,Lunch,Entrees,Calypso Black Beans and Rice
10,Today,Nine,Lunch,Entrees,Cornmeal Crusted Catfish
11,Today,Nine,Lunch,Entrees,Steamed Broccoli
12,Today,Nine,Lunch,Grill,French Fries
13,Today,Nine,Lunch,Pizza,Cheese Pizza
14,Today,Nine,Lunch,Clean Plate,Allergen Free Halal Chicken Thigh
15,Today,Nine,Lunch,Clean Plate,Steamed Rice
16,Today,Nine,Lunch,Clean Plate,Tofu with Kosher Salt
17,Today,Nine,Lunch,Bakery,Vegan Raspberry Granola Bars
18,Today,Nine,Lunch,Open Bars,BAR Hot Dog
19,Today,Nine,Lunch,Open Bars,Beef Frank
20,Today,Nine,Lunch,Open Bars,Cheese Sauce
21,Today,Nine,Lunch,Open Bars,Chili con Carne
22,Today,Nine,Lunch,Open Bars,Condiments
23,Today,Nine,Lunch,Open Bars,Hot Dog Vegan
24,Today,Nine,Lunch,Open Bars,Sauteed Onions and Peppers
25,Today,Nine,Dinner,Soups,Cream of Carrot & Dill Soup
26,Today,Nine,Dinner,Soups,Three Sisters Crave Soup
27,Today,Nine,Dinner,Entrees,BBQ Tofu
28,Today,Nine,Dinner,Entrees,Pan Handle Rotisserie Chicken
29,Today,Nine,Dinner,Entrees,Sauteed Rainbow Chard with Garlic Oil
30,Today,Nine,Dinner,Entrees,Vegan Garlic Mashed Potatoes
31,Today,Nine,Dinner,Pizza,Cheese Pizza
32,Today,Nine,Dinner,Pizza,Vegan Vegetable Pizza
33,Today,Nine,Dinner,Clean Plate,Allergen Free Halal Chicken Thigh
34,Today,Nine,Dinner,Clean Plate,Steamed Rice
35,Today,Nine,Dinner,Clean Plate,Tofu with Kosher Salt
36,Today,Nine,Dinner,Bakery,Chocolate Mocha Cake
37,Today,Nine,Dinner,Bakery,Vegan Apple Cranberry Pie
38,Today,Nine,Dinner,Open Bars,Bar Pasta
39,Today,Nine,Dinner,Open Bars,Bolognese Sauce
40,Today,Nine,Dinner,Open Bars,Cheese Tortellini
41,Today,Nine,Dinner,Open Bars,Cheesy Garlic Bread Sticks
42,Today,Nine,Dinner,Open Bars,Condiments
43,Today,Nine,Dinner,Open Bars,Gluten Free Rotini Pasta
44,Today,Nine,Dinner,Open Bars,Marinara Sauce
45,Today,Nine,Dinner,Open Bars,Penne
46,Today,Nine,Dinner,Open Bars,Roasted Broccoli Rabe
47,Today,Nine,Late Night,Grill,Allergen Free Halal Chicken Thigh
48,Today,Nine,Late Night,Grill,Tofu with Kosher Salt
49,Today,Nine,Late Night,Pizza,Cheese Pizza
50,Today,Nine,Late Night,Pizza,Vegan Vegetable Pizza
51,Today,Nine,Late Night,Open Bars,Bar Pasta
52,Today,Nine,Late Night,Open Bars,Bolognese Sauce
53,Today,Nine,Late Night,Open Bars,Cheese Tortellini
54,Today,Nine,Late Night,Open Bars,Cheesy Garlic Bread Sticks
55,Today,Nine,Late Night,Open Bars,Condiments
56,Today,Nine,Late Night,Open Bars,Gluten Free Rotini Pasta
57,Today,Nine,Late Night,Open Bars,Marinara Sauce
58,Today,Nine,Late Night,Open Bars,Penne
59,Today,Nine,Late Night,Open Bars,Roasted Broccoli Rabe
60,Today,Cowell,Breakfast,Breakfast,Hard-boiled Cage Free Egg (1)
61,Today,Cowell,Breakfast,Breakfast,Organic Oatmeal Gluten-Free
62,Today,Cowell,Breakfast,Breakfast,Roasted Yukon Gold Potatoes
63,Today,Cowell,Breakfast,Breakfast,Sausage Patties
64,Today,Cowell,Breakfast,Breakfast,"Tempeh, Black Bean and Potato Hash"
65,Today,Cowell,Breakfast,Breakfast,Texas French Toast
